id,title,description,category,subcategory,location,severity,source,source_id,start_time,end_time,created_at,is_active
1765378871163,Notice on reopening preschools and early childhood development centers,All preschools and early childhood development centers that were closed due to the emergency disaster situation and are now deemed safe to resume operations will be reopened from 16 December 2025. MORE..,safety,rescue_operations,Sri Lanka,high,news,news_1765378628474,2025-12-10T20:31:11.162991,2025-12-11T20:31:11.163000,2025-12-10T20:31:11.163111,True
1765378951187,Notice on reopening preschools and early childhood development centers,All preschools and early childhood development centers that were closed due to the emergency disaster situation and are now deemed safe to resume operations will be reopened from 16 December 2025. MORE..,safety,rescue_operations,Sri Lanka,high,news,news_1765378951,2025-12-10T20:32:31.187982,2025-12-11T20:32:31.187986,2025-12-10T20:32:31.188054,True
1765378951190,Australia and UNFPA partner to protect women and girls in cyclone-affected Sri Lanka,"Australia and the United Nations Population Fund (UNFPA) have partnered to deliver urgent humanitarian assistance to protect women and girls across Sri Lanka, affected by catastrophic floods and landslides triggered by Cyclone Ditwah, one of the most devastating climate-related disasters to strike the island nation in recent years. MORE..",weather,floods,Sri Lanka,high,news,news_1765378951,2025-12-10T20:32:31.190735,2025-12-11T20:32:31.190746,2025-12-10T20:32:31.190888,True
1765378951194,UAE continues to send aid to assist flood-hit Sri Lanka,The UAEs eight humanitarian aid aircraft has arrived in Sri Lanka on Tuesday in efforts to support the country following deadly floods and landslides. MORE..,weather,floods,Sri Lanka,high,news,news_1765378951,2025-12-10T20:32:31.194908,2025-12-11T20:32:31.194924,2025-12-10T20:32:31.195107,True
1765378951200,"Significant flooding reported after heavy rainfall in Jeddah, Saudi Arabia","Jeddah, Saudi Arabia has experienced heavy rainfall that has led to significant flooding and traffic congestion across the city. MORE..",weather,rainfall_alerts,Sri Lanka,medium,news,news_1765378951,2025-12-10T20:32:31.200425,2025-12-11T20:32:31.200442,2025-12-10T20:32:31.200863,True
1765378951209,Homeowners in landslide-prone areas provided with reports on risk level: NBRO,The National Building Research Organisation (NBRO) has extended landslide warnings issued to several areas based on current ground conditions and weather forecasts. MORE..,weather,landslides,Sri Lanka,medium,news,news_1765378951,2025-12-10T20:32:31.209082,2025-12-11T20:32:31.209103,2025-12-10T20:32:31.209323,True
1765378951218,H-1B visa appointments postponed for many Indians amid US Social Media rules,The US State Departments new social media vetting policy has triggered massive disruptions for H-1B visa applicants in India as many appointments have been postponed to next year. The US Embassy in India issued an advisory to the visa applicants on Tuesday night. MORE..,government,government_general,Sri Lanka,medium,news,news_1765378951,2025-12-10T20:32:31.218399,2025-12-11T20:32:31.218405,2025-12-10T20:32:31.218488,True
1765379215121,Notice on reopening preschools and early childhood development centers,All preschools and early childhood development centers that were closed due to the emergency disaster situation and are now deemed safe to resume operations will be reopened from 16 December 2025. MORE..,safety,rescue_operations,Sri Lanka,high,news,news_1765379215,2025-12-10T20:36:55.121578,2025-12-11T20:36:55.121584,2025-12-10T20:36:55.121676,True
1765379215123,Australia and UNFPA partner to protect women and girls in cyclone-affected Sri Lanka,"Australia and the United Nations Population Fund (UNFPA) have partnered to deliver urgent humanitarian assistance to protect women and girls across Sri Lanka, affected by catastrophic floods and landslides triggered by Cyclone Ditwah, one of the most devastating climate-related disasters to strike the island nation in recent years. MORE..",weather,floods,Sri Lanka,high,news,news_1765379215,2025-12-10T20:36:55.123682,2025-12-11T20:36:55.123687,2025-12-10T20:36:55.123765,True
1765379215126,UAE continues to send aid to assist flood-hit Sri Lanka,The UAEs eight humanitarian aid aircraft has arrived in Sri Lanka on Tuesday in efforts to support the country following deadly floods and landslides. MORE..,weather,floods,Sri Lanka,high,news,news_1765379215,2025-12-10T20:36:55.126476,2025-12-11T20:36:55.126486,2025-12-10T20:36:55.126619,True
